"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 être Vpp de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V à N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: V1c-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"à N2 = là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 à ce Qu P";"N1 être Vpp de N0 à ce Qu P";"<OPT>";"<ENGLISH>"
"170";"+";"-";"-";"-";"-";"<E>";"-";"paumer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Les flics ont paumé Max à voler du pain";"to nab"
"171";"+";"-";"-";"-";"-";"<E>";"-";"payer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"Max paye son employé à écrire ses articles";"?"
"172";"+";"-";"-";"-";"-";"<E>";"-";"pincer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a pincé Luc à voler du vin";"to nab"
"173";"+";"-";"-";"-";"-";"<E>";"-";"piquer";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max a piqué Ida à voler";"to nab"
"174";"+";"+";"+";"+";"-";"<E>";"-";"plier";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ida a plié Max à faire la vaisselle";"to force"
"175";"+";"-";"-";"-";"-";"<E>";"-";"poirer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"On a poiré Max à voler des choux";"to nab"
"176";"+";"-";"-";"-";"-";"<E>";"-";"poisser";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"On a poissé Max à voler des choux";"to nab"
"177";"-";"+";"+";"+";"-";"<E>";"-";"porter";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Paul porte un grand intérêt à ce que tout soit en ordre";"to bear"
"178";"+";"+";"+";"-";"+";"<E>";"-";"porter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Ce défaut porte Luc à faire des bêtises";"to lead"
"179";"+";"-";"-";"-";"-";"<E>";"-";"pousser";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"Max a poussé la gentillesse jusqu'à venir me chercher";"to carry"
"180";"+";"+";"+";"+";"-";"<E>";"-";"pousser";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"Max pousse Luc à ce que Ida revienne";"to urge"
"181";"+";"+";"+";"+";"+";"<E>";"-";"prédestiner";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"Son caractère prédestine Max à devenir curé";"to predestine"
"182";"+";"+";"+";"+";"-";"<E>";"-";"prédéterminer";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Son éducation a prédéterminé Max à devenir curé";"to predetermine"
"183";"+";"+";"+";"+";"-";"<E>";"-";"prédisposer";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Son éducation a prédisposé Max à devenir curé";"to predispose"
"184";"+";"-";"-";"-";"-";"<E>";"-";"prendre";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Les flics ont pris Luc à voler";"to nab"
"185";"+";"-";"-";"-";"-";"ne";"+";"prendre";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"On ne prendra plus Luc à manger de ce pain";"to catch"
"186";"+";"+";"+";"+";"-";"<E>";"-";"préparer";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"Ceci a préparé Max à ce que Léa arrive";"to prepare"
"187";"+";"+";"+";"+";"-";"<E>";"-";"préposer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"On a préposé Max au ménage";"to appoint"
"188";"+";"+";"+";"-";"+";"<E>";"-";"prêter";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max prête son(concours+appui+aide)à ce que tout s'organise";"to give"
"189";"~";"~";"~";"~";"~";"<E>";"-";"prêter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max prête de l'importance à ce qu'on l'écoute";"?"
"190";"+";"-";"-";"-";"-";"<E>";"-";"programmer";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a programmé son robot à laver la vaisselle";"to program"
"191";"~";"~";"~";"~";"~";"<E>";"-";"promettre";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Son talent promet Max à ce qu'il occupe de hautes fonctions";"?"
"192";"+";"+";"+";"+";"-";"<E>";"-";"prostituer";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max prostitue son talent à ce que tout s'arrange";"to prostitute"
"193";"+";"+";"+";"+";"-";"<E>";"-";"provoquer";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a provoqué Luc à se battre";"to provoke"
"194";"+";"+";"+";"+";"-";"<E>";"-";"qualifier";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Cette formation qualifie Max(à+pour)remplir cette tâche";"to qualify"
"195";"+";"+";"+";"+";"-";"<E>";"-";"rabaisser";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ses malheurs ont rabaissé Luc à quémander 100 F";"to humble"
"196";"+";"+";"+";"-";"+";"<E>";"-";"raccrocher";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max raccroche ses espoirs à ce que Léa revienne";"to cling to"
"197";"+";"-";"-";"-";"-";"<E>";"-";"rallier";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"On a rallié Max à militer contre le nucléaire";"to rally"
"198";"+";"+";"+";"+";"+";"<E>";"-";"rapporter";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"ceci a rapporté paul à ce que marie a fait des bêtises";"to bring back"
"199";"+";"+";"+";"+";"-";"<E>";"-";"ravaler";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Ceci ravale Max à ce qu'il mendie dans la rue";"to lower"
"200";"~";"~";"~";"~";"~";"<E>";"-";"reconnaître";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max reconnaît que Léa est passée à ce que la maison est en désordre";"?"
"201";"+";"+";"+";"+";"-";"<E>";"-";"réduire";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"La crise a réduit Luc à(limiter ses dépenses+la mendicité)";"to reduce"
"202";"~";"~";"~";"~";"~";"<E>";"-";"rééduquer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce traitement a rééduqué Jo à marcher";"?"
"203";"+";"+";"+";"+";"-";"<E>";"-";"remettre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a remis Léa à faire la vaisselle";"to put back"
"204";"+";"-";"-";"-";"-";"<E>";"-";"reprendre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a repris Luc à boire";"to catch again"
"205";"+";"+";"+";"+";"-";"<E>";"-";"résigner";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Luc résigne Léa à recevoir Paul";"?"
"206";"+";"+";"+";"+";"-";"<E>";"-";"résoudre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"La situation a résolu Max à ce qu'il agisse ainsi";"to prevail upon"
"207";"+";"+";"+";"+";"-";"<E>";"-";"restreindre";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Cette mesure restreint les activités de Max à organiser les réunions";"to restrict"
"208";"+";"+";"+";"-";"+";"<E>";"-";"retirer";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"+";"-";"Max a retiré des avantages à ce que Léa revienne";"to get"
"209";"+";"-";"-";"-";"-";"<E>";"-";"risquer";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a risqué sa peau à prévenir Luc";"to risk"
"210";"+";"+";"+";"+";"-";"<E>";"-";"roder";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Ceci a rodé Ida à ce qu'elle fasse la vaisselle";"to break in"
"211";"+";"+";"+";"+";"-";"<E>";"-";"rompre";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max est rompu à l'alpinisme";"to break"
"212";"+";"+";"+";"+";"-";"<E>";"-";"ruiner";"-";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a ruiné sa réputation à ce que tout fonctionne";"to ruin"
"213";"+";"-";"-";"-";"-";"<E>";"-";"sacrifier";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"Max sacrifie sa santé à ce que tout fonctionne";"to sacrifice"
"214";"+";"+";"+";"+";"+";"<E>";"-";"sensibiliser";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"La vie a sensibilisé Max à ce que Léa fugue souvent";"to make one sensitive"
"215";"+";"+";"+";"+";"-";"<E>";"-";"solliciter";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"On a sollicité Max à(ce qu'il occupe ce poste+présenter sa candidature)";"to appeal"
"216";"+";"+";"+";"+";"+";"<E>";"-";"soustraire";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"Max a soustrait Ida à ce qu'elle fasse son service";"to shield"
"217";"+";"+";"+";"+";"-";"<E>";"-";"stimuler";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max stimule Léa à ce qu'elle boive moins";"to stimulate"
"218";"+";"+";"+";"+";"-";"<E>";"-";"suggestionner";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Ida a suggestionné Max à ce qu'il s'en aille";"to influence by suggestion"
"219";"~";"~";"~";"~";"~";"<E>";"-";"surpayer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max surpaye Ida à ce qu'elle ne fasse rien";"to overpay"
"220";"+";"-";"-";"-";"-";"<E>";"-";"surprendre";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a surpris Ida à boire";"to catch"
"221";"+";"+";"+";"-";"-";"<E>";"-";"suspendre";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"Max a suspendu sa décision à ce que tout soit en ordre";"to suspend"
"222";"+";"-";"-";"-";"-";"<E>";"-";"trouver";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a trouvé du plaisir à faire cela";"to have"
"223";"+";"-";"-";"-";"-";"<E>";"-";"trouver";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max a trouvé Luc à faire cela";"to catch"
"224";"+";"-";"-";"-";"-";"<E>";"-";"user";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max use Ida à faire la vaisselle";"to wear out"
"225";"+";"-";"-";"-";"-";"<E>";"-";"utiliser";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"Max utilise (ses talents+Ida)à faire la cuisine";"to use"
"226";"+";"+";"+";"+";"+";"<E>";"-";"vouer";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"(Max+son passé) voue Léa à ce qu'elle réussisse";"to vow"

